2.9, 1.15
3.35, 1.3
3.4, 1.7
4.75, 1.95
4.75, 0.85
3.9, 1.25
4.25, 1.7
5.15, 1.45
5.8, 1.5
5.65, 1.9
6.25, 1.7
6.4, 1.35
5.15, 1.2
6.5, 1.35
7.8, 1.35
7.95, 1.8
7.3, 1.7
7.15, 1.35
7.6, 1.2
8.65, 1.3
8.8, 1.3
8.75, 2.1
8.9, 2.1
9.6, 1.2
9.85, 1.4
9.7, 1.95
9.9, 2.15
10.75, 2
11.05, 1.95
10.25, 1.8
10.5, 0.95
11.35, 1
11.9, 1.4
10.45, 1.45
12.1, 1.65
12.8, 1.7
12.8, 0.9
12.7, 0.9
11.4, 1.2
11.75, 1.7
12.4, 1.85
13.4, 2.1
14.05, 2.15
14.25, 1.6
13.75, 1.3
13.35, 1.3
14.6, 1.65
15.15, 1.8
15.25, 2.1
15, 1.35
15, 1.15
18.85, 5.25
19, 5.8
19.1, 6.1
18.5, 6.7
19.3, 7.5
19.65, 8.05
18.6, 9.35
18.6, 9.35
18.6, 8
19.15, 8.45
19.45, 9.45
19.5, 9.45
18.9, 9.75
18.6, 9.65
18.3, 8.75
18.6, 7.5
18.95, 6.6
20, 7
20.25, 10.05
19, 11.5
18.7, 11.85
18.95, 11.6
19.1, 11
19.8, 11.4
19.8, 11.9
19.7, 10.75
19.45, 10.2
17.55, 11
19.45, 12.65
19.55, 13.35
19.2, 14.15
18.95, 13.85
18.85, 13.35
18.85, 12.65
19.2, 12.3
19.15, 14.6
19.25, 14.3
19.55, 11.9
19.25, 7.6
19.95, 10.65
20, 8.8
19.2, 8.75
19.2, 6.4
19.25, 6.85
20.6, 8.15
19.45, 7.25
20.1, 8.15
18.75, 10.55
18.2, 11.15
18.75, 14.75
19.6, 15.6
19.55, 15.35
19.7, 14.6
19.75, 13.85
19.6, 12.55
19.4, 9.25
19.35, 5.95
19.35, 5.4
19.45, 6.65
19.3, 7.5
18.9, 8.35
19.6, 10.1
19.7, 12
19.4, 13.45
19.4, 13.4
19.3, 12.5
